analysis_type,comparison_group,configuration_a,configuration_b,metric,value_a,value_b,ratio_b_over_a,percent_change_b_vs_a,interpretation
STATEFUL_REF_FAST,XMSS10_W16,REF,FAST,sign_mean_ms,2444.464200400,5.430159050,0.002221411,-99.777858925,FAST signing speedup = 450.164383x
STATEFUL_REF_FAST,XMSS10_W16,REF,FAST,secret_key_bytes,136.000000000,1377.000000000,10.125000000,912.500000000,FAST serialized SK expansion = 10.125000x
STATEFUL_REF_FAST,XMSS10_W256,REF,FAST,sign_mean_ms,19129.551616150,44.382796290,0.002320117,-99.767988308,FAST signing speedup = 431.012762x
STATEFUL_REF_FAST,XMSS10_W256,REF,FAST,secret_key_bytes,136.000000000,1377.000000000,10.125000000,912.500000000,FAST serialized SK expansion = 10.125000x
STATEFUL_REF_FAST,XMSS10_W4,REF,FAST,sign_mean_ms,1379.849042880,2.948730720,0.002136995,-99.786300484,FAST signing speedup = 467.946779x
STATEFUL_REF_FAST,XMSS10_W4,REF,FAST,secret_key_bytes,136.000000000,1377.000000000,10.125000000,912.500000000,FAST serialized SK expansion = 10.125000x
STATEFUL_REF_FAST,XMSS16_W16,REF,FAST,sign_mean_ms,156383.499410990,6.003339740,0.000038389,-99.996161142,FAST signing speedup = 26049.416855x
STATEFUL_REF_FAST,XMSS16_W16,REF,FAST,secret_key_bytes,136.000000000,2097.000000000,15.419117647,1441.911764706,FAST serialized SK expansion = 15.419118x
STATEFUL_REF_FAST,XMSS16_W256,REF,FAST,sign_mean_ms,1219586.873217450,42.529665680,0.000034872,-99.996512781,FAST signing speedup = 28676.145315x
STATEFUL_REF_FAST,XMSS16_W256,REF,FAST,secret_key_bytes,136.000000000,2097.000000000,15.419117647,1441.911764706,FAST serialized SK expansion = 15.419118x
STATEFUL_REF_FAST,XMSS16_W4,REF,FAST,sign_mean_ms,88062.843447490,2.963345040,0.000033650,-99.996634966,FAST signing speedup = 29717.377578x
STATEFUL_REF_FAST,XMSS16_W4,REF,FAST,secret_key_bytes,136.000000000,2097.000000000,15.419117647,1441.911764706,FAST serialized SK expansion = 15.419118x
STATEFUL_REF_FAST,XMSSMT20_2_W16,REF,FAST,sign_mean_ms,4999.124406480,7.824390380,0.001565152,-99.843484784,FAST signing speedup = 638.915515x
STATEFUL_REF_FAST,XMSSMT20_2_W16,REF,FAST,secret_key_bytes,135.000000000,6002.000000000,44.459259259,4345.925925926,FAST serialized SK expansion = 44.459259x
STATEFUL_REF_FAST,XMSSMT20_2_W256,REF,FAST,sign_mean_ms,38231.176362770,60.882643980,0.001592487,-99.840751319,FAST signing speedup = 627.948687x
STATEFUL_REF_FAST,XMSSMT20_2_W256,REF,FAST,secret_key_bytes,135.000000000,4946.000000000,36.637037037,3563.703703704,FAST serialized SK expansion = 36.637037x
STATEFUL_REF_FAST,XMSSMT20_2_W4,REF,FAST,sign_mean_ms,2748.473980350,4.288510730,0.001560324,-99.843967570,FAST signing speedup = 640.892411x
STATEFUL_REF_FAST,XMSSMT20_2_W4,REF,FAST,secret_key_bytes,135.000000000,8114.000000000,60.103703704,5910.370370370,FAST serialized SK expansion = 60.103704x
STATEFUL_REF_FAST,XMSSMT20_4_W16,REF,FAST,sign_mean_ms,312.045335550,9.496898740,0.030434356,-96.956564429,FAST signing speedup = 32.857604x
STATEFUL_REF_FAST,XMSSMT20_4_W16,REF,FAST,secret_key_bytes,135.000000000,10942.000000000,81.051851852,8005.185185185,FAST serialized SK expansion = 81.051852x
STATEFUL_REF_FAST,XMSSMT20_4_W256,REF,FAST,sign_mean_ms,2420.100028390,75.368829750,0.031142857,-96.885714274,FAST signing speedup = 32.110092x
STATEFUL_REF_FAST,XMSSMT20_4_W256,REF,FAST,secret_key_bytes,135.000000000,7774.000000000,57.585185185,5658.518518519,FAST serialized SK expansion = 57.585185x
STATEFUL_REF_FAST,XMSSMT20_4_W4,REF,FAST,sign_mean_ms,174.297749500,5.363068890,0.030769582,-96.923041803,FAST signing speedup = 32.499629x
STATEFUL_REF_FAST,XMSSMT20_4_W4,REF,FAST,secret_key_bytes,135.000000000,17278.000000000,127.985185185,12698.518518519,FAST serialized SK expansion = 127.985185x
STATEFUL_WOTS,XMSS10_REF,w=4,w=16,signature_bytes,4612.000000000,2500.000000000,0.542064180,-45.793581960,WOTS signature-size trade-off
STATEFUL_WOTS,XMSS10_REF,w=4,w=16,sign_mean_ms,1379.849042880,2444.464200400,1.771544658,77.154465774,WOTS signing-latency trade-off
STATEFUL_WOTS,XMSS10_REF,w=16,w=256,signature_bytes,2500.000000000,1444.000000000,0.577600000,-42.240000000,WOTS signature-size trade-off
STATEFUL_WOTS,XMSS10_REF,w=16,w=256,sign_mean_ms,2444.464200400,19129.551616150,7.825662414,682.566241429,WOTS signing-latency trade-off
STATEFUL_WOTS,XMSS10_REF,w=4,w=256,signature_bytes,4612.000000000,1444.000000000,0.313096271,-68.690372940,WOTS signature-size trade-off
STATEFUL_WOTS,XMSS10_REF,w=4,w=256,sign_mean_ms,1379.849042880,19129.551616150,13.863510443,1286.351044330,WOTS signing-latency trade-off
STATEFUL_WOTS,XMSS10_FAST,w=4,w=16,signature_bytes,4612.000000000,2500.000000000,0.542064180,-45.793581960,WOTS signature-size trade-off
STATEFUL_WOTS,XMSS10_FAST,w=4,w=16,sign_mean_ms,2.948730720,5.430159050,1.841524224,84.152422368,WOTS signing-latency trade-off
