scheme,configuration,state_requirement,profile,tuning_parameter,keygen_mean_ms,sign_mean_ms,verify_mean_ms,signatures_per_second,verifications_per_second,signature_bytes,public_key_bytes,secret_key_bytes,state_storage_class,benchmark_block
XMSS,XMSS10,STATEFUL,REF,w=4,1377.815216,1379.849043,0.855195,0.724717,1169.323436,4612,68,136,COMPACT_REF,STATEFUL_PARAMETER_SENSITIVITY
XMSS,XMSS10,STATEFUL,REF,w=16,2447.648332,2444.464200,1.314569,0.409088,760.705369,2500,68,136,COMPACT_REF,STATEFUL_PARAMETER_SENSITIVITY
XMSS,XMSS10,STATEFUL,REF,w=256,19109.922751,19129.551616,9.629649,0.052275,103.845944,1444,68,136,COMPACT_REF,STATEFUL_PARAMETER_SENSITIVITY
XMSS,XMSS10,STATEFUL,FAST,w=4,1384.732175,2.948731,0.847641,339.128966,1179.744908,4612,68,1377,BDS_FAST_STATE,STATEFUL_PARAMETER_SENSITIVITY
XMSS,XMSS10,STATEFUL,FAST,w=16,2447.276924,5.430159,1.278900,184.156668,781.922050,2500,68,1377,BDS_FAST_STATE,STATEFUL_PARAMETER_SENSITIVITY
XMSS,XMSS10,STATEFUL,FAST,w=256,19952.088035,44.382796,10.290721,22.531253,97.174920,1444,68,1377,BDS_FAST_STATE,STATEFUL_PARAMETER_SENSITIVITY
XMSS,XMSS16,STATEFUL,REF,w=4,87906.845490,88062.843447,0.863766,0.011356,1157.720541,4804,68,136,COMPACT_REF,STATEFUL_PARAMETER_SENSITIVITY
XMSS,XMSS16,STATEFUL,REF,w=16,157988.086623,156383.499411,1.333985,0.006395,749.633369,2692,68,136,COMPACT_REF,STATEFUL_PARAMETER_SENSITIVITY
XMSS,XMSS16,STATEFUL,REF,w=256,1216821.432431,1219586.873217,9.778569,0.000820,102.264457,1636,68,136,COMPACT_REF,STATEFUL_PARAMETER_SENSITIVITY
XMSS,XMSS16,STATEFUL,FAST,w=4,88196.842349,2.963345,0.864249,337.456485,1157.073490,4804,68,2097,BDS_FAST_STATE,STATEFUL_PARAMETER_SENSITIVITY
XMSS,XMSS16,STATEFUL,FAST,w=16,173508.762028,6.003340,1.472957,166.573948,678.906320,2692,68,2097,BDS_FAST_STATE,STATEFUL_PARAMETER_SENSITIVITY
XMSS,XMSS16,STATEFUL,FAST,w=256,1219692.998321,42.529666,9.659431,23.512999,103.525762,1636,68,2097,BDS_FAST_STATE,STATEFUL_PARAMETER_SENSITIVITY
XMSSMT,XMSSMT20_2,STATEFUL,REF,w=4,1371.026255,2748.473980,1.717472,0.363838,582.251045,9187,68,135,COMPACT_REF,STATEFUL_PARAMETER_SENSITIVITY
XMSSMT,XMSSMT20_2,STATEFUL,REF,w=16,2497.460073,4999.124406,2.681976,0.200035,372.859427,4963,68,135,COMPACT_REF,STATEFUL_PARAMETER_SENSITIVITY
XMSSMT,XMSSMT20_2,STATEFUL,REF,w=256,19025.868230,38231.176363,18.691051,0.026157,53.501540,2851,68,135,COMPACT_REF,STATEFUL_PARAMETER_SENSITIVITY
XMSSMT,XMSSMT20_2,STATEFUL,FAST,w=4,2749.272748,4.288511,1.700772,233.181182,587.968457,9187,68,8114,BDS_FAST_STATE,STATEFUL_PARAMETER_SENSITIVITY
XMSSMT,XMSSMT20_2,STATEFUL,FAST,w=16,4894.334417,7.824390,2.629748,127.805484,380.264639,4963,68,6002,BDS_FAST_STATE,STATEFUL_PARAMETER_SENSITIVITY
XMSSMT,XMSSMT20_2,STATEFUL,FAST,w=256,38090.390486,60.882644,19.137619,16.425042,52.253106,2851,68,4946,BDS_FAST_STATE,STATEFUL_PARAMETER_SENSITIVITY
XMSSMT,XMSSMT20_4,STATEFUL,REF,w=4,42.988837,174.297750,3.325934,5.737309,300.667428,17699,68,135,COMPACT_REF,STATEFUL_PARAMETER_SENSITIVITY
XMSSMT,XMSSMT20_4,STATEFUL,REF,w=16,76.745385,312.045336,5.115621,3.204663,195.479707,9251,68,135,COMPACT_REF,STATEFUL_PARAMETER_SENSITIVITY
XMSSMT,XMSSMT20_4,STATEFUL,REF,w=256,594.896670,2420.100028,38.485233,0.413206,25.983992,5027,68,135,COMPACT_REF,STATEFUL_PARAMETER_SENSITIVITY
XMSSMT,XMSSMT20_4,STATEFUL,FAST,w=4,177.983700,5.363069,3.383786,186.460406,295.526926,17699,68,17278,BDS_FAST_STATE,STATEFUL_PARAMETER_SENSITIVITY
XMSSMT,XMSSMT20_4,STATEFUL,FAST,w=16,309.198557,9.496899,5.156204,105.297532,193.941129,9251,68,10942,BDS_FAST_STATE,STATEFUL_PARAMETER_SENSITIVITY
XMSSMT,XMSSMT20_4,STATEFUL,FAST,w=256,2437.620134,75.368830,38.266938,13.268084,26.132219,5027,68,7774,BDS_FAST_STATE,STATEFUL_PARAMETER_SENSITIVITY
SLH-DSA,SLH-DSA-SHA2-128s,STATELESS,SHA2-s,128s,85.890315,657.043812,0.661567,1.521969,1511.562699,7856,32,64,STATELESS,STATELESS_STANDARDIZED_COMPARISON
SLH-DSA,SLH-DSA-SHAKE-128s,STATELESS,SHAKE-s,128s,144.366074,1110.645233,1.094651,0.900378,913.532813,7856,32,64,STATELESS,STATELESS_STANDARDIZED_COMPARISON
SLH-DSA,SLH-DSA-SHA2-128f,STATELESS,SHA2-f,128f,1.363557,31.574739,1.913564,31.670888,522.585008,17088,32,64,STATELESS,STATELESS_STANDARDIZED_COMPARISON
SLH-DSA,SLH-DSA-SHAKE-128f,STATELESS,SHAKE-f,128f,2.251781,53.153554,3.162425,18.813417,316.213063,17088,32,64,STATELESS,STATELESS_STANDARDIZED_COMPARISON
SLH-DSA,SLH-DSA-SHA2-192s,STATELESS,SHA2-s,192s,125.110669,1167.256431,0.973010,0.856710,1027.738307,16224,48,96,STATELESS,STATELESS_STANDARDIZED_COMPARISON
SLH-DSA,SLH-DSA-SHAKE-192s,STATELESS,SHAKE-s,192s,208.968137,1974.071435,1.577259,0.506567,634.011414,16224,48,96,STATELESS,STATELESS_STANDARDIZED_COMPARISON
SLH-DSA,SLH-DSA-SHA2-192f,STATELESS,SHA2-f,192f,1.957415,51.711609,2.782030,19.338017,359.449701,35664,48,96,STATELESS,STATELESS_STANDARDIZED_COMPARISON
SLH-DSA,SLH-DSA-SHAKE-192f,STATELESS,SHAKE-f,192f,3.272261,87.333486,4.574384,11.450362,218.608665,35664,48,96,STATELESS,STATELESS_STANDARDIZED_COMPARISON
SLH-DSA,SLH-DSA-SHA2-256s,STATELESS,SHA2-s,256s,82.854652,1037.713953,1.431434,0.963657,698.600091,29792,64,128,STATELESS,STATELESS_STANDARDIZED_COMPARISON
SLH-DSA,SLH-DSA-SHAKE-256s,STATELESS,SHAKE-s,256s,137.736374,1797.207606,2.326005,0.556419,429.921684,29792,64,128,STATELESS,STATELESS_STANDARDIZED_COMPARISON
SLH-DSA,SLH-DSA-SHA2-256f,STATELESS,SHA2-f,256f,5.177985,106.656909,2.845691,9.375858,351.408552,49856,64,128,STATELESS,STATELESS_STANDARDIZED_COMPARISON
SLH-DSA,SLH-DSA-SHAKE-256f,STATELESS,SHAKE-f,256f,8.707083,180.721813,4.631405,5.533366,215.917199,49856,64,128,STATELESS,STATELESS_STANDARDIZED_COMPARISON
