cell_id,structure,baseline,wots_w,experiment_id,operation_csv,operation_sha256,operation_rows,component_csv,component_sha256,component_rows,git_commit,temperature_start_c,temperature_end_c,throttling,protocol,analysis_status
1,XMSS10,REF,4,PI14M_XMSS10_W4_REF_FINAL02,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSS_REF_XMSS-SHA2_10_256_PI14M_XMSS10_W4_REF_FINAL02_operations_instrumented.csv,a93ff97cd3d56618dfc37b677fd6f583f9fbfade1dcec3c462391a8e01464e93,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSS_REF_XMSS-SHA2_10_256_PI14M_XMSS10_W4_REF_FINAL02_components.csv,f18a179e9b8e05d7abea768d693d5cf35ef1edd2d3c1c2bd39a87a2f13bc1602,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-WOTS_W4-RPI5_PORT,57.6,58.7,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
2,XMSS10,REF,16,PI12F_XMSS10_W16_REF_FINAL02,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSS_REF_XMSS-SHA2_10_256_PI12F_XMSS10_W16_REF_FINAL02_operations_instrumented.csv,32021f2bf8a50218cc3963347a79afe1007f78beb416460aae75d755a95c1ee9,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSS_REF_XMSS-SHA2_10_256_PI12F_XMSS10_W16_REF_FINAL02_components.csv,c20cce9c09dea2bde6007e52041c27828b20a8e2b91e86edd61d6802d42c98f9,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-WOTS_W16-RPI5_PORT,56.0,56.5,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
3,XMSS10,REF,256,PI65E_XMSS10_W256_REF_FINAL_CORRECTED01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSS_REF_XMSS-SHA2_10_256_PI65E_XMSS10_W256_REF_FINAL_CORRECTED01_operations_instrumented.csv,7129dc75991c2d870defa751cf1a5731137b2972bdf1d65e524110603d69c873,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSS_REF_XMSS-SHA2_10_256_PI65E_XMSS10_W256_REF_FINAL_CORRECTED01_components.csv,6a7a6fbd3eba00f204d6af346835b11e3c7359dd23adf41de2caf9ab956410b2,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSS10-WOTS_W256-MACROFIX-RPI5_PORT,58.2,56.5,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
4,XMSS10,FAST,4,PI15G_XMSS10_W4_FAST_FINAL02,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSS_FAST_XMSS-SHA2_10_256_PI15G_XMSS10_W4_FAST_FINAL02_operations_instrumented.csv,efe3aaab9cf1f3a5aa799def27587472a744fa00cb23ae3f11540a036a7cea05,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSS_FAST_XMSS-SHA2_10_256_PI15G_XMSS10_W4_FAST_FINAL02_components.csv,6cbf77f61c8f3166e32f68616c5679bd53da8edf664cea01012a028a2d34cd02,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-WOTS_W4-RPI5_PORT,60.4,59.3,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
5,XMSS10,FAST,16,PI13H_XMSS10_W16_FAST_FINAL02,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSS_FAST_XMSS-SHA2_10_256_PI13H_XMSS10_W16_FAST_FINAL02_operations_instrumented.csv,45c874fd014f5c82b179395b1e5d6649c28d20ebafca39417d724acce849f68c,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSS_FAST_XMSS-SHA2_10_256_PI13H_XMSS10_W16_FAST_FINAL02_components.csv,b5658a5dbf271d52df80481900333f2c2119dedd4f10564dc8bdb36db07d6684,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-WOTS_W16-RPI5_PORT,59.8,57.6,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
6,XMSS10,FAST,256,PI66E_XMSS10_W256_FAST_FINAL_CORRECTED01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSS_FAST_XMSS-SHA2_10_256_PI66E_XMSS10_W256_FAST_FINAL_CORRECTED01_operations_instrumented.csv,04e8799ca25a22ab3fcc4554b90d3e082c4cde57837881c53eccb9dfefd77562,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSS_FAST_XMSS-SHA2_10_256_PI66E_XMSS10_W256_FAST_FINAL_CORRECTED01_components.csv,d84865da11843cc68e6a0f1e65a57d18cc643afde57b13a08c2ac067c917e69c,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSS10-WOTS_W256-MACROFIX-RPI5_PORT,56.5,57.1,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
7,XMSS16,REF,4,PI18E_XMSS16_W4_REF_FINAL01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSS_REF_XMSS-SHA2_16_256_PI18E_XMSS16_W4_REF_FINAL01_operations_instrumented.csv,5b6aaa3130d4248eca0fda806d3887c0ff180894b09decd200438c4691c118b5,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSS_REF_XMSS-SHA2_16_256_PI18E_XMSS16_W4_REF_FINAL01_components.csv,b1c745ddba9f62c7eef36f4e329c9858670da99a50e2d6531b7ed53a31414cf6,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSS16-WOTS_W4-RPI5_PORT,58.7,56.5,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
8,XMSS16,REF,16,PI20E_XMSS16_W16_REF_FINAL01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSS_REF_XMSS-SHA2_16_256_PI20E_XMSS16_W16_REF_FINAL01_operations_instrumented.csv,5486ed18e5bd89688fb732d32246436fcc0a4bb8e647c88d092f00d98e8c9c4d,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSS_REF_XMSS-SHA2_16_256_PI20E_XMSS16_W16_REF_FINAL01_components.csv,25d3fe84b2a98db7216f6ffb50191fdcc79893a38b55ba235c865fe74ecf1672,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSS16-WOTS_W16-RPI5_PORT,56.0,58.7,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
9,XMSS16,REF,256,PI67E_XMSS16_W256_REF_EXTREME_CORRECTED01,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSS_REF_XMSS-SHA2_16_256_PI67E_XMSS16_W256_REF_EXTREME_CORRECTED01_operations_instrumented.csv,0fa54d1d910483057e81cf9f2a356996a2906043ac986461717fa95932d23ba6,50,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSS_REF_XMSS-SHA2_16_256_PI67E_XMSS16_W256_REF_EXTREME_CORRECTED01_components.csv,83432466574b65aaa345f36960469dd4a35b2dbae4d4b720219bfb0d470ff6b3,200,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSS16-WOTS_W256-MACROFIX-RPI5_PORT-EXTREME10KG20SIGN,57.2,58.3,NOT_OBSERVED,10_KEYGEN_20_SIGN_20_VERIFY,INCLUDE
10,XMSS16,FAST,4,PI19H_XMSS16_W4_FAST_FINAL02,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/04_raw_operations/XMSS_FAST_XMSS-SHA2_16_256_PI19H_XMSS16_W4_FAST_FINAL02_operations_instrumented.csv,659506fdce13903c04f78cd5ad2089bb717d7d3dde3c5505326f998361fd2854,210,/home/sohaib/PhD_HBS/Objective1/RPI5_WOTS_Parameter_Sensitivity/05_raw_components/XMSS_FAST_XMSS-SHA2_16_256_PI19H_XMSS16_W4_FAST_FINAL02_components.csv,e0457bc5307a721f503c566f3436c2c1001701000c6d33717060e44cf175d055,1000,171ccbd26f098542a67eb5d2b128281c80bd71a6-XMSS16-WOTS_W4-RPI5_PORT,59.3,55.4,NOT_OBSERVED,10_KEYGEN_100_SIGN_100_VERIFY,INCLUDE
