artifact_id,category,relative_path,size_bytes,sha256,purpose,status
PI74A,analysis,06_analysis/PI74A_PUBLICATION_MASTER_FINDINGS.csv,5983,c2b69fa329538a8196341ea6424934ab10361d0fd292107a6474605dbe971822,24-cell publication master findings,PASS
PI74B,table,11_tables/PI74B_PUBLICATION_SIGNING_RESULTS_TABLE.csv,2831,e16d95f9309e53542db19ac606ef22e1327c6e017f1c50ee2c173a4390b30ee3,matched signing results,PASS
PI74C_PDF,figure_pdf,10_figures/PI74C_SIGNING_LATENCY_REF_FAST.pdf,21299,7d823c5cd7c330a7f3c25df025951d575ec184cd7fed1aca76dcfa0de60c63d4,REF/FAST signing latency figure,PASS
PI74C_PNG,figure_png,10_figures/PI74C_SIGNING_LATENCY_REF_FAST.png,259698,c3a1b780cc66fcaecd79a413cec39add22c72fb9360bf9412c47c5d2f3068b08,REF/FAST signing latency preview,PASS
PI74D_R1_PDF,figure_pdf,10_figures/PI74D_R1_SIGNING_REF_FAST_SPEEDUP.pdf,17238,c58d05df0a4f1c4980dd9266291d3a408c363635cae051adcb3cc2eeaa59811a,REF/FAST signing speedup figure,PASS
PI74D_R1_PNG,figure_png,10_figures/PI74D_R1_SIGNING_REF_FAST_SPEEDUP.png,127220,7525785673c08cf29df9eb822fa37b96f990667fce12fd03df708717c8f0811c,REF/FAST signing speedup preview,PASS
PI74E_PDF,figure_pdf,10_figures/PI74E_LEAF_GENERATION_SHARE_REF_FAST.pdf,19892,a5fdf8e1d0be971e284a54b6e3559c92047a36b5ccb26bbb44e39eeadcbacd23,leaf-generation attribution figure,PASS
PI74E_PNG,figure_png,10_figures/PI74E_LEAF_GENERATION_SHARE_REF_FAST.png,221080,2fbeebabffdd2cc11f51c8a1ef026b22f4fafb50c81e62db7a40a94799ecf58a,leaf-generation attribution preview,PASS
PI74F,table,11_tables/PI74F_PUBLICATION_KEYGEN_VERIFY_TABLE.csv,1666,a03ca28a974aa67c9c1bc4132f4fd04e7eba47e8babe0571ba5b23b68042986a,secondary keygen/verify table,PASS
PI74G,table,11_tables/PI74G_PUBLICATION_WOTS_SENSITIVITY_TABLE.csv,1249,212e864d460696df6ae30ece37e3c9a1e4762a865802e7ca081be1b7c70f3ff5,WOTS sensitivity table,PASS
PI74H,table,11_tables/PI74H_PUBLICATION_STRUCTURAL_SENSITIVITY_TABLE.csv,1973,a3861c9cd8a19db2246e75f37de5085a23392b5e12eccc9df8a8617ca5adb1fe,structural sensitivity table,PASS
PI74I_PDF,figure_pdf,10_figures/PI74I_STRUCTURAL_SENSITIVITY.pdf,16869,c327b48d9cb29adb48e40fba74b7d1d80b18d20730f7bb196ae513052f7074df,structural sensitivity figure,PASS
PI74I_PNG,figure_png,10_figures/PI74I_STRUCTURAL_SENSITIVITY.png,145790,6598cbd67ebffb0d828fabb137ea891df1746892f620b62463645bd319f2001e,structural sensitivity preview,PASS
PI74J_PDF,figure_pdf,10_figures/PI74J_WOTS_SIGNING_SENSITIVITY.pdf,21316,fbfeecc8b305e1e9fbb5cde41ae65f8708f56c6b2f907ac5dbb871276ef6e591,WOTS signing sensitivity figure,PASS
PI74J_PNG,figure_png,10_figures/PI74J_WOTS_SIGNING_SENSITIVITY.png,262043,47b7f79767ea9550532ac34c3bb84400b4580baedc33f269047e86d6d585be29,WOTS signing sensitivity preview,PASS
