parameter_set,key_rep,signature_index,sk_index_before,sk_index_after,sign_ns,verify_ns,verification_pass,signature_bytes,secret_key_bytes,tree_height,full_height,layers,wots_w
XMSS-SHA2_16_256,PUB_R1,0,0,1,3614518,1326296,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,1,1,2,3537241,1387518,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,2,2,3,3660870,1255297,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,3,3,4,8420500,1358371,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,4,4,5,3598537,1320908,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,5,5,6,3593982,1320537,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,6,6,7,3467556,1450240,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,7,7,8,18156148,1486630,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,8,8,9,3543185,1388260,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,9,9,10,3560834,1356611,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,10,10,11,3628074,1290185,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,11,11,12,8279703,1521352,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,12,12,13,3675667,1381519,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,13,13,14,3636778,1296241,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,14,14,15,3581741,1352685,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,15,15,16,20646833,1294185,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,16,16,17,20529352,1455722,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,17,17,18,3681518,1363648,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,18,18,19,3589018,1354760,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,19,19,20,8433518,1359278,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,20,20,21,3585130,1354796,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,21,21,22,3462426,1454852,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,22,22,23,3659482,1269093,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,23,23,24,18146519,1412685,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,24,24,25,3548574,1389037,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,25,25,26,3535482,1389148,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,26,26,27,3612537,1325056,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,27,27,28,8520074,1259796,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,28,28,29,3739519,1196130,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,29,29,30,3612630,1319722,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,30,30,31,3537870,1391908,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,31,31,32,20799389,1296740,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,32,32,33,23149204,1358018,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,33,33,34,20716092,1262797,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,34,34,35,23045463,1362222,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,35,35,36,8385722,1386945,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,36,36,37,3636500,1292834,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,37,37,38,3751111,1331204,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,38,38,39,3666481,1352426,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,39,39,40,17986092,1555908,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,40,40,41,3655148,1292222,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,41,41,42,3432111,1483426,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,42,42,43,3599593,1324667,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,43,43,44,8442482,1357000,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,44,44,45,3667463,1257000,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,45,45,46,3532889,1388704,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,46,46,47,3639944,1306648,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,47,47,48,20544260,1387351,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,48,48,49,20799945,1292722,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,49,49,50,3548222,1387592,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,50,50,51,3602574,1323370,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,51,51,52,8588019,1217130,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,52,52,53,3606611,1322351,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,53,53,54,3540463,1390185,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,54,54,55,3565926,1356870,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,55,55,56,18322889,1234092,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,56,56,57,3569426,1352963,PASS,2692,2097,16,16,1,16
XMSS-SHA2_16_256,PUB_R1,57,57,58,3564703,1355889,PASS,2692,2097,16,16,1,16
