parameter_set,key_rep,signature_index,sk_index_before,sk_index_after,sign_ns,verify_ns,verification_pass,signature_bytes,secret_key_bytes,tree_height,full_height,layers,wots_w
XMSSMT-SHA2_20/2_256,PUB_R2,0,0,1,5887704,2741481,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,1,1,2,5853777,2746500,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,2,2,3,5801000,2809074,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,3,3,4,10690629,2690241,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,4,4,5,5951426,2644852,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,5,5,6,5879426,2712185,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,6,6,7,5981556,2616185,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,7,7,8,15470519,2682649,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,8,8,9,10656259,2709815,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,9,9,10,6004481,2599797,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,10,10,11,5789037,2806834,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,11,11,12,10685408,2686259,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,12,12,13,5872259,2705519,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,13,13,14,5956889,2645334,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,14,14,15,5842815,2742334,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,15,15,16,15468426,2746222,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,16,16,17,17826333,2709648,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,17,17,18,15257019,2870055,PASS,4963,6002,10,20,2,16
XMSSMT-SHA2_20/2_256,PUB_R2,18,18,19,8446741,2516778,PASS,4963,6002,10,20,2,16
