run_order,parameter_set,key_rep,measured_signatures,first_index,last_index,tree_height,full_height,layers,wots_w,classification
1,XMSS-SHA2_10_256,PUB_R1,1023,0,1022,10,10,1,16,PUBLICATION
2,XMSSMT-SHA2_20/4_256,PUB_R1,1024,0,1023,5,20,4,16,PUBLICATION
3,XMSSMT-SHA2_20/2_256,PUB_R1,4096,0,4095,10,20,2,16,PUBLICATION
4,XMSS-SHA2_16_256,PUB_R1,65535,0,65534,16,16,1,16,PUBLICATION
5,XMSS-SHA2_16_256,PUB_R2,65535,0,65534,16,16,1,16,PUBLICATION
6,XMSSMT-SHA2_20/2_256,PUB_R2,4096,0,4095,10,20,2,16,PUBLICATION
7,XMSSMT-SHA2_20/4_256,PUB_R2,1024,0,1023,5,20,4,16,PUBLICATION
8,XMSS-SHA2_10_256,PUB_R2,1023,0,1022,10,10,1,16,PUBLICATION
9,XMSSMT-SHA2_20/2_256,PUB_R3,4096,0,4095,10,20,2,16,PUBLICATION
10,XMSS-SHA2_10_256,PUB_R3,1023,0,1022,10,10,1,16,PUBLICATION
11,XMSS-SHA2_16_256,PUB_R3,65535,0,65534,16,16,1,16,PUBLICATION
12,XMSSMT-SHA2_20/4_256,PUB_R3,1024,0,1023,5,20,4,16,PUBLICATION
