run_order,parameter_set,key_rep,metric,n,mean_ns,median_ns,sd_ns,cv_pct,min_ns,p50_ns,p90_ns,p95_ns,p99_ns,max_ns
1,XMSS-SHA2_10_256,PUB_R1,sign_ns,1023,10657100.776149,13001018.000000,4739812.905301,44.475632,1107278,13001018.000000,15442640.800000,15483665.000000,15546525.320000,15668907
1,XMSS-SHA2_10_256,PUB_R1,verify_ns,1023,1298842.924731,1304648.000000,81678.395263,6.288551,1053908,1304648.000000,1406977.800000,1437031.400000,1481020.300000,1531241
2,XMSSMT-SHA2_20/4_256,PUB_R1,sign_ns,1024,8358759.275391,9045027.500000,2004557.573300,23.981521,3749389,9045027.500000,11791981.000000,11854738.350000,11937717.140000,12093982
2,XMSSMT-SHA2_20/4_256,PUB_R1,verify_ns,1024,5451175.946289,5435963.000000,130115.777904,2.386930,5102425,5435963.000000,5630394.600000,5679479.000000,5776664.670000,5838574
3,XMSSMT-SHA2_20/2_256,PUB_R1,sign_ns,4096,13493434.103027,15916426.000000,4904774.644173,36.349343,3648592,15916426.000000,18450806.000000,18509560.000000,18597099.500000,19779241
3,XMSSMT-SHA2_20/2_256,PUB_R1,verify_ns,4096,2661406.260254,2657148.000000,90182.332974,3.388522,2351185,2657148.000000,2792907.500000,2823213.250000,2868639.250000,3173685
4,XMSS-SHA2_16_256,PUB_R1,sign_ns,65535,18227076.618616,20706074.000000,7143029.088462,39.189110,1164741,20706074.000000,23168085.400000,23222876.400000,23337240.300000,43992389
4,XMSS-SHA2_16_256,PUB_R1,verify_ns,65535,1352774.318624,1354537.000000,86204.531410,6.372425,1033833,1354537.000000,1484733.800000,1501611.000000,1556419.880000,1826555
5,XMSS-SHA2_16_256,PUB_R2,sign_ns,65535,17848247.254490,20283111.000000,6996481.882545,39.199826,1078500,20283111.000000,22683278.000000,22721648.000000,22787493.880000,47147462
5,XMSS-SHA2_16_256,PUB_R2,verify_ns,65535,1321363.717159,1325092.000000,86219.741434,6.525057,978611,1325092.000000,1450559.200000,1461851.300000,1520759.660000,5324352
6,XMSSMT-SHA2_20/2_256,PUB_R2,sign_ns,4096,13085405.786621,15432648.500000,4760008.295325,36.376467,3405796,15432648.500000,17868491.000000,17913157.250000,17980025.150000,31848056
6,XMSSMT-SHA2_20/2_256,PUB_R2,verify_ns,4096,2616869.460938,2595592.500000,186146.479764,7.113327,2328815,2595592.500000,2743648.500000,2802014.000000,2870656.400000,6708000
7,XMSSMT-SHA2_20/4_256,PUB_R2,sign_ns,1024,7601992.580078,8225768.500000,1850680.097052,24.344671,3372833,8225768.500000,10722568.300000,10789542.400000,10876423.390000,16911630
7,XMSSMT-SHA2_20/4_256,PUB_R2,verify_ns,1024,5295131.340820,5270676.000000,237298.567694,4.481448,4949667,5270676.000000,5457776.500000,5499157.750000,5584655.270000,9874240
8,XMSS-SHA2_10_256,PUB_R2,sign_ns,1023,10683765.618768,13029944.000000,4745973.452884,44.422291,1078462,13029944.000000,15480362.800000,15511366.300000,15607140.660000,15647407
8,XMSS-SHA2_10_256,PUB_R2,verify_ns,1023,1298689.161290,1305556.000000,82636.367026,6.363060,1052019,1305556.000000,1407226.200000,1438424.200000,1498475.360000,1539075
9,XMSSMT-SHA2_20/2_256,PUB_R3,sign_ns,4096,13053150.020996,15401287.000000,4760473.246938,36.469919,3488833,15401287.000000,17833037.000000,17877426.000000,17945148.050000,35871537
9,XMSSMT-SHA2_20/2_256,PUB_R3,verify_ns,4096,2566257.037109,2553490.500000,110345.103229,4.299846,2292259,2553490.500000,2695352.000000,2714981.750000,2774979.300000,6624259
10,XMSS-SHA2_10_256,PUB_R3,sign_ns,1023,10653349.319648,12999963.000000,4737084.766703,44.465685,1236389,12999963.000000,15435932.800000,15476790.800000,15535739.240000,15643444
10,XMSS-SHA2_10_256,PUB_R3,verify_ns,1023,1298395.281525,1280945.000000,81759.921574,6.296998,1081815,1280945.000000,1430081.400000,1434918.500000,1495538.000000,1560630
11,XMSS-SHA2_16_256,PUB_R3,sign_ns,65535,18533694.373816,21063703.000000,7266387.557584,39.206363,1232223,21063703.000000,23559500.000000,23611431.400000,23703690.380000,48744593
11,XMSS-SHA2_16_256,PUB_R3,verify_ns,65535,1371411.392325,1373537.000000,91680.753536,6.685139,1075963,1373537.000000,1505259.000000,1519302.400000,1577814.660000,5582667
12,XMSSMT-SHA2_20/4_256,PUB_R3,sign_ns,1024,7744437.521484,8397454.000000,1860329.487890,24.021493,3424519,8397454.000000,10937179.300000,11000236.150000,11062931.160000,11094852
12,XMSSMT-SHA2_20/4_256,PUB_R3,verify_ns,1024,5056813.341797,5052380.000000,202381.019933,4.002145,4652778,5052380.000000,5220052.000000,5282081.250000,5368503.210000,10074186
