parameter_set,key_rep,boundary_index,relative_index,signature_index,sign_ns
XMSSMT-SHA2_20/2_256,PUB_R1,1024,-4,1020,6102648
XMSSMT-SHA2_20/2_256,PUB_R1,1024,-3,1021,3648592
XMSSMT-SHA2_20/2_256,PUB_R1,1024,-2,1022,5949834
XMSSMT-SHA2_20/2_256,PUB_R1,1024,-1,1023,7273722
XMSSMT-SHA2_20/2_256,PUB_R1,1024,0,1024,6109852
XMSSMT-SHA2_20/2_256,PUB_R1,1024,1,1025,5922944
XMSSMT-SHA2_20/2_256,PUB_R1,1024,2,1026,5955426
XMSSMT-SHA2_20/2_256,PUB_R1,1024,3,1027,10842926
XMSSMT-SHA2_20/2_256,PUB_R1,1024,4,1028,6040389
XMSSMT-SHA2_20/2_256,PUB_R1,2048,-4,2044,6149018
XMSSMT-SHA2_20/2_256,PUB_R1,2048,-3,2045,3696889
XMSSMT-SHA2_20/2_256,PUB_R1,2048,-2,2046,6202722
XMSSMT-SHA2_20/2_256,PUB_R1,2048,-1,2047,7306334
XMSSMT-SHA2_20/2_256,PUB_R1,2048,0,2048,5996222
XMSSMT-SHA2_20/2_256,PUB_R1,2048,1,2049,6223574
XMSSMT-SHA2_20/2_256,PUB_R1,2048,2,2050,6191593
XMSSMT-SHA2_20/2_256,PUB_R1,2048,3,2051,11026759
XMSSMT-SHA2_20/2_256,PUB_R1,2048,4,2052,6086963
XMSSMT-SHA2_20/2_256,PUB_R1,3072,-4,3068,6163130
XMSSMT-SHA2_20/2_256,PUB_R1,3072,-3,3069,3699481
XMSSMT-SHA2_20/2_256,PUB_R1,3072,-2,3070,6140408
XMSSMT-SHA2_20/2_256,PUB_R1,3072,-1,3071,7270149
XMSSMT-SHA2_20/2_256,PUB_R1,3072,0,3072,6124648
XMSSMT-SHA2_20/2_256,PUB_R1,3072,1,3073,6236704
XMSSMT-SHA2_20/2_256,PUB_R1,3072,2,3074,6059537
XMSSMT-SHA2_20/2_256,PUB_R1,3072,3,3075,10937963
XMSSMT-SHA2_20/2_256,PUB_R1,3072,4,3076,6223167
XMSSMT-SHA2_20/2_256,PUB_R2,1024,-4,1020,5730889
XMSSMT-SHA2_20/2_256,PUB_R2,1024,-3,1021,3619333
XMSSMT-SHA2_20/2_256,PUB_R2,1024,-2,1022,5878148
XMSSMT-SHA2_20/2_256,PUB_R2,1024,-1,1023,7141074
XMSSMT-SHA2_20/2_256,PUB_R2,1024,0,1024,5940722
XMSSMT-SHA2_20/2_256,PUB_R2,1024,1,1025,5936611
XMSSMT-SHA2_20/2_256,PUB_R2,1024,2,1026,5947519
XMSSMT-SHA2_20/2_256,PUB_R2,1024,3,1027,10726444
XMSSMT-SHA2_20/2_256,PUB_R2,1024,4,1028,5905130
XMSSMT-SHA2_20/2_256,PUB_R2,2048,-4,2044,5853148
XMSSMT-SHA2_20/2_256,PUB_R2,2048,-3,2045,3594482
XMSSMT-SHA2_20/2_256,PUB_R2,2048,-2,2046,5982482
XMSSMT-SHA2_20/2_256,PUB_R2,2048,-1,2047,7149259
XMSSMT-SHA2_20/2_256,PUB_R2,2048,0,2048,6072296
XMSSMT-SHA2_20/2_256,PUB_R2,2048,1,2049,10035630
XMSSMT-SHA2_20/2_256,PUB_R2,2048,2,2050,10017333
XMSSMT-SHA2_20/2_256,PUB_R2,2048,3,2051,23069315
XMSSMT-SHA2_20/2_256,PUB_R2,2048,4,2052,14334463
XMSSMT-SHA2_20/2_256,PUB_R2,3072,-4,3068,5781018
XMSSMT-SHA2_20/2_256,PUB_R2,3072,-3,3069,3606037
XMSSMT-SHA2_20/2_256,PUB_R2,3072,-2,3070,5844574
XMSSMT-SHA2_20/2_256,PUB_R2,3072,-1,3071,6906778
XMSSMT-SHA2_20/2_256,PUB_R2,3072,0,3072,5786389
XMSSMT-SHA2_20/2_256,PUB_R2,3072,1,3073,5897222
XMSSMT-SHA2_20/2_256,PUB_R2,3072,2,3074,5751167
XMSSMT-SHA2_20/2_256,PUB_R2,3072,3,3075,10520297
XMSSMT-SHA2_20/2_256,PUB_R2,3072,4,3076,5854556
XMSSMT-SHA2_20/2_256,PUB_R3,1024,-4,1020,5829666
XMSSMT-SHA2_20/2_256,PUB_R3,1024,-3,1021,3521426
XMSSMT-SHA2_20/2_256,PUB_R3,1024,-2,1022,5896759
XMSSMT-SHA2_20/2_256,PUB_R3,1024,-1,1023,7126037
XMSSMT-SHA2_20/2_256,PUB_R3,1024,0,1024,5922963
XMSSMT-SHA2_20/2_256,PUB_R3,1024,1,1025,5992945
XMSSMT-SHA2_20/2_256,PUB_R3,1024,2,1026,5981833
XMSSMT-SHA2_20/2_256,PUB_R3,1024,3,1027,10634445
XMSSMT-SHA2_20/2_256,PUB_R3,1024,4,1028,5825778
XMSSMT-SHA2_20/2_256,PUB_R3,2048,-4,2044,5929019
XMSSMT-SHA2_20/2_256,PUB_R3,2048,-3,2045,3488833
XMSSMT-SHA2_20/2_256,PUB_R3,2048,-2,2046,5863555
XMSSMT-SHA2_20/2_256,PUB_R3,2048,-1,2047,7005760
XMSSMT-SHA2_20/2_256,PUB_R3,2048,0,2048,5771777
XMSSMT-SHA2_20/2_256,PUB_R3,2048,1,2049,5928796
XMSSMT-SHA2_20/2_256,PUB_R3,2048,2,2050,6023519
XMSSMT-SHA2_20/2_256,PUB_R3,2048,3,2051,10530555
XMSSMT-SHA2_20/2_256,PUB_R3,2048,4,2052,5865018
XMSSMT-SHA2_20/2_256,PUB_R3,3072,-4,3068,5932315
XMSSMT-SHA2_20/2_256,PUB_R3,3072,-3,3069,3551926
XMSSMT-SHA2_20/2_256,PUB_R3,3072,-2,3070,5860518
XMSSMT-SHA2_20/2_256,PUB_R3,3072,-1,3071,7092426
XMSSMT-SHA2_20/2_256,PUB_R3,3072,0,3072,5865203
XMSSMT-SHA2_20/2_256,PUB_R3,3072,1,3073,5860055
XMSSMT-SHA2_20/2_256,PUB_R3,3072,2,3074,5928426
