parameter_set,key_rep,boundary_index,window_start_index,window_end_index,n,mean_sign_ns,median_sign_ns,sd_sign_ns,cv_sign_pct,min_sign_ns,boundary_sign_ns,max_sign_ns,max_relative_index,max_signature_index
XMSSMT-SHA2_20/2_256,PUB_R1,1024,1020,1028,9,6427370.333333,6040389.000000,1903821.399915,29.620534,3648592,6109852,10842926,3,1027
XMSSMT-SHA2_20/2_256,PUB_R1,2048,2044,2052,9,6542230.444444,6191593.000000,1929720.924428,29.496377,3696889,5996222,11026759,3,2051
XMSSMT-SHA2_20/2_256,PUB_R1,3072,3068,3076,9,6539465.222222,6163130.000000,1898722.599611,29.034830,3699481,6124648,10937963,3,3075
XMSSMT-SHA2_20/2_256,PUB_R2,1024,1020,1028,9,6313985.555556,5936611.000000,1888391.214126,29.908070,3619333,5940722,10726444,3,1027
XMSSMT-SHA2_20/2_256,PUB_R2,2048,2044,2052,9,9567600.888889,7149259.000000,5977400.033407,62.475432,3594482,6072296,23069315,3,2051
XMSSMT-SHA2_20/2_256,PUB_R2,3072,3068,3076,9,6216448.666667,5844574.000000,1829484.732123,29.429741,3606037,5786389,10520297,3,3075
XMSSMT-SHA2_20/2_256,PUB_R3,1024,1020,1028,9,6303539.111111,5922963.000000,1875382.798334,29.751268,3521426,5922963,10634445,3,1027
XMSSMT-SHA2_20/2_256,PUB_R3,2048,2044,2052,9,6267425.777778,5928796.000000,1847274.246672,29.474210,3488833,5771777,10530555,3,2051
XMSSMT-SHA2_20/2_256,PUB_R3,3072,3068,3076,9,6279555.444444,5897463.000000,1839167.478603,29.288180,3551926,5865203,10527667,3,3075
XMSSMT-SHA2_20/4_256,PUB_R1,32,28,36,9,10761113.111111,11630926.000000,1276789.485403,11.864846,9090686,11894130,11894130,0,32
XMSSMT-SHA2_20/4_256,PUB_R1,64,60,68,9,8383382.666667,9111426.000000,1190513.435209,14.200872,6408370,9202241,9202241,0,64
XMSSMT-SHA2_20/4_256,PUB_R1,96,92,100,9,8378675.000000,9031185.000000,1187433.427678,14.172091,6382741,9250686,9250686,0,96
XMSSMT-SHA2_20/4_256,PUB_R1,128,124,132,9,7590232.666667,6675612.000000,2265664.135547,29.849732,3960611,11832537,11832537,0,128
XMSSMT-SHA2_20/4_256,PUB_R1,160,156,164,9,6978888.888889,6577370.000000,1596700.603256,22.879009,4012648,6325871,9254852,3,163
XMSSMT-SHA2_20/4_256,PUB_R1,192,188,196,9,6962716.000000,6593389.000000,1587629.515839,22.801871,3891074,6505463,9200944,4,196
XMSSMT-SHA2_20/4_256,PUB_R1,224,220,228,9,7001168.666667,6536074.000000,1621351.237136,23.158294,3973000,6605000,9266926,4,228
XMSSMT-SHA2_20/4_256,PUB_R1,256,252,260,9,8677528.777778,9098260.000000,2830607.395920,32.619971,3859148,11882574,11882574,0,256
XMSSMT-SHA2_20/4_256,PUB_R1,288,284,292,9,6967475.333333,6567741.000000,1605998.774807,23.049938,3939093,6535796,9245555,4,292
XMSSMT-SHA2_20/4_256,PUB_R1,320,316,324,9,6968948.333333,6636926.000000,1570424.388364,22.534597,3923537,6532851,9081277,4,324
XMSSMT-SHA2_20/4_256,PUB_R1,352,348,356,9,6939139.888889,6533759.000000,1621950.687219,23.373944,3874648,6533759,9172907,4,356
XMSSMT-SHA2_20/4_256,PUB_R1,384,380,388,9,7552333.444444,6626852.000000,2300585.188440,30.461912,3749389,11831241,11831241,0,384
XMSSMT-SHA2_20/4_256,PUB_R1,416,412,420,9,7056063.777778,6654092.000000,1579245.749028,22.381398,4033778,6499407,9191500,3,419
XMSSMT-SHA2_20/4_256,PUB_R1,448,444,452,9,6954924.000000,6645297.000000,1630029.746642,23.437061,3891926,6385315,9276667,4,452
XMSSMT-SHA2_20/4_256,PUB_R1,480,476,484,9,7024107.000000,6588834.000000,1584044.981075,22.551550,4031852,6581500,9261648,3,483
XMSSMT-SHA2_20/4_256,PUB_R1,512,508,516,9,8764790.111111,9246982.000000,2813658.014253,32.101830,3884926,11948926,11948926,0,512
XMSSMT-SHA2_20/4_256,PUB_R1,544,540,548,9,7006991.777778,6603315.000000,1622746.107095,23.158955,3955685,6422574,9251334,3,547
XMSSMT-SHA2_20/4_256,PUB_R1,576,572,580,9,6964127.666667,6539630.000000,1629284.596065,23.395387,3867833,6385352,9160297,4,580
XMSSMT-SHA2_20/4_256,PUB_R1,608,604,612,9,7007417.555556,6582296.000000,1588017.237634,22.661947,4076055,6523240,9230907,3,611
XMSSMT-SHA2_20/4_256,PUB_R1,640,636,644,9,7514557.777778,6666648.000000,2277781.408740,30.311583,3836648,11855519,11855519,0,640
XMSSMT-SHA2_20/4_256,PUB_R1,672,668,676,9,6985730.333333,6601777.000000,1631547.639122,23.355434,3812796,6601777,9168463,3,675
XMSSMT-SHA2_20/4_256,PUB_R1,704,700,708,9,6983705.888889,6582278.000000,1678724.450769,24.037731,3768463,6396222,9286871,3,707
XMSSMT-SHA2_20/4_256,PUB_R1,736,732,740,9,6966571.888889,6609407.000000,1588171.191113,22.797026,3975259,6451333,9245297,4,740
XMSSMT-SHA2_20/4_256,PUB_R1,768,764,772,9,7553343.555556,6649981.000000,2265759.806390,29.996779,3931092,11784093,11784093,0,768
