parameter_set,key_rep,reference_index,sign_ns
XMSS-SHA2_10_256,PUB_R1,1,3491056
XMSS-SHA2_10_256,PUB_R1,2,3609630
XMSS-SHA2_10_256,PUB_R1,4,3487149
XMSS-SHA2_10_256,PUB_R1,8,8240389
XMSS-SHA2_10_256,PUB_R1,16,15379759
XMSS-SHA2_10_256,PUB_R1,32,15293148
XMSS-SHA2_10_256,PUB_R1,64,15461518
XMSS-SHA2_10_256,PUB_R1,128,15459093
XMSS-SHA2_10_256,PUB_R1,256,15427500
XMSS-SHA2_10_256,PUB_R1,512,15426074
XMSS-SHA2_10_256,PUB_R2,1,3563388
XMSS-SHA2_10_256,PUB_R2,2,3612648
XMSS-SHA2_10_256,PUB_R2,4,3551796
XMSS-SHA2_10_256,PUB_R2,8,8333574
XMSS-SHA2_10_256,PUB_R2,16,15418870
XMSS-SHA2_10_256,PUB_R2,32,15364111
XMSS-SHA2_10_256,PUB_R2,64,15464871
XMSS-SHA2_10_256,PUB_R2,128,15392981
XMSS-SHA2_10_256,PUB_R2,256,15332130
XMSS-SHA2_10_256,PUB_R2,512,15395870
XMSS-SHA2_10_256,PUB_R3,1,3586667
XMSS-SHA2_10_256,PUB_R3,2,3457130
XMSS-SHA2_10_256,PUB_R3,4,3484037
XMSS-SHA2_10_256,PUB_R3,8,8481537
XMSS-SHA2_10_256,PUB_R3,16,15395648
XMSS-SHA2_10_256,PUB_R3,32,15546315
XMSS-SHA2_10_256,PUB_R3,64,15348111
XMSS-SHA2_10_256,PUB_R3,128,15399815
XMSS-SHA2_10_256,PUB_R3,256,15265482
XMSS-SHA2_10_256,PUB_R3,512,15435019
XMSS-SHA2_16_256,PUB_R1,1,3537241
XMSS-SHA2_16_256,PUB_R1,2,3660870
XMSS-SHA2_16_256,PUB_R1,4,3598537
XMSS-SHA2_16_256,PUB_R1,8,3543185
XMSS-SHA2_16_256,PUB_R1,16,20529352
XMSS-SHA2_16_256,PUB_R1,32,23149204
XMSS-SHA2_16_256,PUB_R1,64,23203556
XMSS-SHA2_16_256,PUB_R1,128,23124055
XMSS-SHA2_16_256,PUB_R1,256,23098926
XMSS-SHA2_16_256,PUB_R1,512,23208722
XMSS-SHA2_16_256,PUB_R1,1024,23055111
XMSS-SHA2_16_256,PUB_R1,2048,23180240
XMSS-SHA2_16_256,PUB_R1,4096,23078444
XMSS-SHA2_16_256,PUB_R1,8192,23182482
XMSS-SHA2_16_256,PUB_R1,16384,22990852
XMSS-SHA2_16_256,PUB_R1,32768,23122074
XMSS-SHA2_16_256,PUB_R2,1,3490815
XMSS-SHA2_16_256,PUB_R2,2,3456407
XMSS-SHA2_16_256,PUB_R2,4,3618388
XMSS-SHA2_16_256,PUB_R2,8,3366093
XMSS-SHA2_16_256,PUB_R2,16,20125574
XMSS-SHA2_16_256,PUB_R2,32,22701315
XMSS-SHA2_16_256,PUB_R2,64,22446000
XMSS-SHA2_16_256,PUB_R2,128,22515537
XMSS-SHA2_16_256,PUB_R2,256,22655889
XMSS-SHA2_16_256,PUB_R2,512,22670926
XMSS-SHA2_16_256,PUB_R2,1024,22744093
XMSS-SHA2_16_256,PUB_R2,2048,22624833
XMSS-SHA2_16_256,PUB_R2,4096,22624925
XMSS-SHA2_16_256,PUB_R2,8192,22622500
XMSS-SHA2_16_256,PUB_R2,16384,22624018
XMSS-SHA2_16_256,PUB_R2,32768,22665611
XMSS-SHA2_16_256,PUB_R3,1,3639852
XMSS-SHA2_16_256,PUB_R3,2,3759314
XMSS-SHA2_16_256,PUB_R3,4,3620370
XMSS-SHA2_16_256,PUB_R3,8,3429371
XMSS-SHA2_16_256,PUB_R3,16,20953351
XMSS-SHA2_16_256,PUB_R3,32,23487981
XMSS-SHA2_16_256,PUB_R3,64,23634667
XMSS-SHA2_16_256,PUB_R3,128,23434852
XMSS-SHA2_16_256,PUB_R3,256,23532611
XMSS-SHA2_16_256,PUB_R3,512,23340315
XMSS-SHA2_16_256,PUB_R3,1024,23381648
XMSS-SHA2_16_256,PUB_R3,2048,23438074
XMSS-SHA2_16_256,PUB_R3,4096,23446222
XMSS-SHA2_16_256,PUB_R3,8192,23494778
XMSS-SHA2_16_256,PUB_R3,16384,23654611
XMSS-SHA2_16_256,PUB_R3,32768,23625259
