parameter_set,key_rep,reference_index,window_start_index,window_end_index,n,mean_sign_ns,median_sign_ns,sd_sign_ns,cv_sign_pct,min_sign_ns,reference_sign_ns,max_sign_ns,max_relative_index,max_signature_index
XMSS-SHA2_10_256,PUB_R1,4,0,8,9,5593097.000000,3514130.000000,3459031.692682,61.844658,3294482,3487149,12909111,3,7
XMSS-SHA2_10_256,PUB_R1,8,4,12,9,5567415.777778,3487149.000000,3464112.738412,62.221197,3294482,8240389,12909111,-1,7
XMSS-SHA2_10_256,PUB_R1,16,12,20,9,7690374.555556,5845778.000000,4895577.704552,63.658508,3358000,15379759,15379759,0,16
XMSS-SHA2_10_256,PUB_R1,32,28,36,9,10624218.111111,13102333.000000,5452024.198496,51.316945,3396889,15293148,15380760,4,36
XMSS-SHA2_10_256,PUB_R1,64,60,68,9,10645717.888889,12981333.000000,5445673.411359,51.153651,3450037,15461518,15466037,4,68
XMSS-SHA2_10_256,PUB_R1,128,124,132,9,10672389.000000,13029314.000000,5446172.970160,51.030495,3497074,15459093,15470093,2,130
XMSS-SHA2_10_256,PUB_R1,256,252,260,9,10687491.555556,12982277.000000,5407973.608273,50.600963,3583870,15427500,15572592,2,258
XMSS-SHA2_10_256,PUB_R1,512,508,516,9,10606357.888889,12929666.000000,5452470.129344,51.407563,3454389,15426074,15440222,4,516
XMSS-SHA2_10_256,PUB_R2,4,0,8,9,5676308.444444,3612648.000000,3417300.983106,60.202877,3522259,3551796,12950204,3,7
XMSS-SHA2_10_256,PUB_R2,8,4,12,9,5626835.444444,3558074.000000,3435797.931443,61.060928,3325908,8333574,12950204,-1,7
XMSS-SHA2_10_256,PUB_R2,16,12,20,9,7753086.222222,5887666.000000,4889944.251687,63.070939,3393278,15418870,15418870,0,16
XMSS-SHA2_10_256,PUB_R2,32,28,36,9,10690473.000000,13109648.000000,5492681.891529,51.379222,3263870,15364111,15490852,2,34
XMSS-SHA2_10_256,PUB_R2,64,60,68,9,10690765.444444,13046871.000000,5444141.876962,50.923780,3549852,15464871,15464871,0,64
XMSS-SHA2_10_256,PUB_R2,128,124,132,9,10673967.000000,13036815.000000,5481318.807405,51.352218,3456777,15392981,15593259,4,132
XMSS-SHA2_10_256,PUB_R2,256,252,260,9,10682619.222222,13097889.000000,5446598.050854,50.985605,3455592,15332130,15541111,2,258
XMSS-SHA2_10_256,PUB_R2,512,508,516,9,10632944.444444,13003537.000000,5432933.937900,51.095291,3491685,15395870,15458315,4,516
XMSS-SHA2_10_256,PUB_R3,4,0,8,9,5600002.222222,3539555.000000,3435803.344624,61.353607,3358778,3484037,12903148,3,7
XMSS-SHA2_10_256,PUB_R3,8,4,12,9,5618835.444444,3535278.000000,3431274.175932,61.067355,3453241,8481537,12903148,-1,7
XMSS-SHA2_10_256,PUB_R3,16,12,20,9,7739220.222222,5743093.000000,4871956.843227,62.951521,3487426,15395648,15395648,0,16
XMSS-SHA2_10_256,PUB_R3,32,28,36,9,10677814.888889,13043370.000000,5489384.284916,51.409248,3452537,15546315,15546315,0,32
XMSS-SHA2_10_256,PUB_R3,64,60,68,9,10628137.888889,12918092.000000,5437223.008184,51.158755,3471611,15348111,15429852,4,68
XMSS-SHA2_10_256,PUB_R3,128,124,132,9,10604388.777778,13019778.000000,5447704.620610,51.372170,3358519,15399815,15399815,0,128
XMSS-SHA2_10_256,PUB_R3,256,252,260,9,10642697.666667,13045593.000000,5439212.826619,51.107464,3490870,15265482,15409926,2,258
XMSS-SHA2_10_256,PUB_R3,512,508,516,9,10657759.555556,13031408.000000,5429862.531484,50.947505,3488871,15435019,15435296,4,516
XMSS-SHA2_16_256,PUB_R1,4,0,8,9,5732504.111111,3598537.000000,4927209.696270,85.952135,3467556,3598537,18156148,3,7
XMSS-SHA2_16_256,PUB_R1,8,4,12,9,5722631.777778,3598537.000000,4915025.802626,85.887508,3467556,3543185,18156148,-1,7
XMSS-SHA2_16_256,PUB_R1,16,12,20,9,7928839.444444,3675667.000000,7347832.254455,92.672229,3581741,20529352,20646833,-1,15
XMSS-SHA2_16_256,PUB_R1,32,28,36,9,12291376.555556,8385722.000000,9301510.027182,75.675088,3537870,23149204,23149204,0,32
XMSS-SHA2_16_256,PUB_R1,64,60,68,9,15755946.666667,20620204.000000,9228806.238259,58.573480,3533296,23203556,23203556,0,64
XMSS-SHA2_16_256,PUB_R1,128,124,132,9,15722031.000000,20484371.000000,9137342.056256,58.118077,3567111,23124055,23124055,0,128
XMSS-SHA2_16_256,PUB_R1,256,252,260,9,15757345.777778,20639556.000000,9224183.654248,58.538943,3432130,23098926,23196277,4,260
XMSS-SHA2_16_256,PUB_R1,512,508,516,9,15785216.111111,20675500.000000,9150844.023775,57.970977,3598074,23208722,23208722,0,512
XMSS-SHA2_16_256,PUB_R1,1024,1020,1028,9,15750152.222222,20686407.000000,9190429.849413,58.351372,3474408,23055111,23140593,2,1026
XMSS-SHA2_16_256,PUB_R1,2048,2044,2052,9,15795584.555556,20591648.000000,9220268.514315,58.372443,3533759,23180240,23189130,2,2050
XMSS-SHA2_16_256,PUB_R1,4096,4092,4100,9,15776923.777778,20672833.000000,9165392.940063,58.093663,3563611,23078444,23078444,0,4096
XMSS-SHA2_16_256,PUB_R1,8192,8188,8196,9,15725407.333333,20596555.000000,9236110.713530,58.733682,3438074,23182482,23182482,0,8192
XMSS-SHA2_16_256,PUB_R1,16384,16380,16388,9,15771026.666667,20702129.000000,9188576.264720,58.262385,3536259,22990852,23057296,2,16386
