parameter_set,key_rep,reference_index,relative_index,signature_index,sign_ns
XMSS-SHA2_10_256,PUB_R1,4,-4,0,3384981
XMSS-SHA2_10_256,PUB_R1,4,-3,1,3491056
XMSS-SHA2_10_256,PUB_R1,4,-2,2,3609630
XMSS-SHA2_10_256,PUB_R1,4,-1,3,8406945
XMSS-SHA2_10_256,PUB_R1,4,0,4,3487149
XMSS-SHA2_10_256,PUB_R1,4,1,5,3514130
XMSS-SHA2_10_256,PUB_R1,4,2,6,3294482
XMSS-SHA2_10_256,PUB_R1,4,3,7,12909111
XMSS-SHA2_10_256,PUB_R1,4,4,8,8240389
XMSS-SHA2_10_256,PUB_R1,8,-4,4,3487149
XMSS-SHA2_10_256,PUB_R1,8,-3,5,3514130
XMSS-SHA2_10_256,PUB_R1,8,-2,6,3294482
XMSS-SHA2_10_256,PUB_R1,8,-1,7,12909111
XMSS-SHA2_10_256,PUB_R1,8,0,8,8240389
XMSS-SHA2_10_256,PUB_R1,8,1,9,3483870
XMSS-SHA2_10_256,PUB_R1,8,2,10,3482000
XMSS-SHA2_10_256,PUB_R1,8,3,11,8337611
XMSS-SHA2_10_256,PUB_R1,8,4,12,3358000
XMSS-SHA2_10_256,PUB_R1,16,-4,12,3358000
XMSS-SHA2_10_256,PUB_R1,16,-3,13,3358963
XMSS-SHA2_10_256,PUB_R1,16,-2,14,3544759
XMSS-SHA2_10_256,PUB_R1,16,-1,15,12926723
XMSS-SHA2_10_256,PUB_R1,16,0,16,15379759
XMSS-SHA2_10_256,PUB_R1,16,1,17,13054889
XMSS-SHA2_10_256,PUB_R1,16,2,18,5845778
XMSS-SHA2_10_256,PUB_R1,16,3,19,8288760
XMSS-SHA2_10_256,PUB_R1,16,4,20,3455740
XMSS-SHA2_10_256,PUB_R1,32,-4,28,3452370
XMSS-SHA2_10_256,PUB_R1,32,-3,29,3560722
XMSS-SHA2_10_256,PUB_R1,32,-2,30,3396889
XMSS-SHA2_10_256,PUB_R1,32,-1,31,13004260
XMSS-SHA2_10_256,PUB_R1,32,0,32,15293148
XMSS-SHA2_10_256,PUB_R1,32,1,33,13102333
XMSS-SHA2_10_256,PUB_R1,32,2,34,15270926
XMSS-SHA2_10_256,PUB_R1,32,3,35,13156555
XMSS-SHA2_10_256,PUB_R1,32,4,36,15380760
XMSS-SHA2_10_256,PUB_R1,64,-4,60,3563111
XMSS-SHA2_10_256,PUB_R1,64,-3,61,3545111
XMSS-SHA2_10_256,PUB_R1,64,-2,62,3450037
XMSS-SHA2_10_256,PUB_R1,64,-1,63,12928722
XMSS-SHA2_10_256,PUB_R1,64,0,64,15461518
XMSS-SHA2_10_256,PUB_R1,64,1,65,13109685
XMSS-SHA2_10_256,PUB_R1,64,2,66,15305907
XMSS-SHA2_10_256,PUB_R1,64,3,67,12981333
XMSS-SHA2_10_256,PUB_R1,64,4,68,15466037
XMSS-SHA2_10_256,PUB_R1,128,-4,124,3589260
XMSS-SHA2_10_256,PUB_R1,128,-3,125,3548741
XMSS-SHA2_10_256,PUB_R1,128,-2,126,3497074
XMSS-SHA2_10_256,PUB_R1,128,-1,127,13008889
XMSS-SHA2_10_256,PUB_R1,128,0,128,15459093
XMSS-SHA2_10_256,PUB_R1,128,1,129,13029314
XMSS-SHA2_10_256,PUB_R1,128,2,130,15470093
XMSS-SHA2_10_256,PUB_R1,128,3,131,13061741
XMSS-SHA2_10_256,PUB_R1,128,4,132,15387296
XMSS-SHA2_10_256,PUB_R1,256,-4,252,3650666
XMSS-SHA2_10_256,PUB_R1,256,-3,253,3610222
XMSS-SHA2_10_256,PUB_R1,256,-2,254,3583870
XMSS-SHA2_10_256,PUB_R1,256,-1,255,12982277
XMSS-SHA2_10_256,PUB_R1,256,0,256,15427500
XMSS-SHA2_10_256,PUB_R1,256,1,257,12906500
